iter,x,y,in_circle,pi_appx
133,-0.369957,0.138436,1,3.36842
134,-0.388329,-0.652139,1,3.37313
135,-0.782885,0.738143,0,3.34815
136,0.702496,0.488677,1,3.35294
137,-0.690228,-0.346152,1,3.35766
138,-0.841299,-0.846792,0,3.33333
139,0.282,0.640054,1,3.33813
140,0.0902155,-0.103461,1,3.34286
141,-0.182018,-0.40249,1,3.34752
142,-0.0688519,0.00244156,1,3.35211
143,-0.694683,-0.353903,1,3.35664
144,0.476042,-0.372215,1,3.36111
145,0.653421,0.918208,0,3.33793
146,0.74675,0.450101,1,3.34247
147,-0.399866,0.888055,1,3.34694
148,-0.745529,-0.868522,0,3.32432
149,0.569981,0.0491973,1,3.32886
150,0.219313,0.912287,1,3.33333
151,-0.85546,0.751328,0,3.31126
152,0.307758,-0.355735,1,3.31579
153,-0.790392,0.0101325,1,3.32026
154,-0.54581,-0.419398,1,3.32468
155,0.840017,0.102362,1,3.32903
156,0.325642,-0.770921,1,3.33333
157,-0.0148935,-0.241714,1,3.33758
158,-0.00634804,0.586767,1,3.34177
159,0.0185558,-0.235244,1,3.34591
160,0.376366,0.064335,1,3.35
161,0.212598,-0.209608,1,3.35404
162,-0.988219,0.415797,0,3.33333
163,-0.798755,0.24617,1,3.33742
164,0.726546,-0.0169688,1,3.34146
165,0.49472,-0.00616493,1,3.34545
166,-0.239761,0.570775,1,3.3494
167,0.105658,-0.285784,1,3.35329
168,0.911494,0.261735,1,3.35714
169,-0.646829,-0.25148,1,3.36095
170,-0.736739,0.486602,1,3.36471
171,0.903498,0.224013,1,3.36842
172,-0.944333,-0.340292,0,3.34884
173,-0.888177,0.278459,1,3.3526
174,-0.736739,0.694195,0,3.33333
175,0.728682,0.193798,1,3.33714
176,0.443325,0.70799,1,3.34091
177,-0.97064,-0.747055,0,3.32203
178,0.415858,0.234328,1,3.32584
179,-0.564854,-0.868095,0,3.30726
180,-0.66215,0.248245,1,3.31111
181,-0.318013,-0.361167,1,3.31492
182,-0.264848,0.322041,1,3.31868
183,0.604834,0.613807,1,3.3224
184,0.0531038,0.222243,1,3.32609
185,0.596411,0.801257,1,3.32973
186,-0.71037,0.260392,1,3.33333
187,-0.195141,-0.492584,1,3.3369
188,-0.726912,0.710432,0,3.31915
189,-0.867668,-0.144357,1,3.32275
190,0.146737,-0.39541,1,3.32632
191,0.0961362,-0.548862,1,3.32984
192,-0.377281,-0.778734,1,3.33333
193,0.616126,-0.730574,1,3.33679
194,-0.431484,0.576268,1,3.34021
195,0.790515,0.57932,1,3.34359
196,0.48764,0.230483,1,3.34694
197,-0.277727,0.713361,1,3.35025
198,-0.543002,0.727217,1,3.35354
199,-0.54111,-0.500885,1,3.35678
200,0.084844,0.969725,1,3.36
201,-0.892388,-0.837148,0,3.34328
202,0.0493805,-0.146371,1,3.34653
203,-0.810657,-0.48239,1,3.34975
204,0.783129,-0.534456,1,3.35294
205,-0.706891,-0.749802,0,3.33659
206,0.863334,-0.839773,0,3.32039
207,-0.905817,-0.882561,0,3.30435
208,-0.327168,0.829457,1,3.30769
209,-0.202771,-0.134408,1,3.311
210,0.892388,0.674419,0,3.29524
211,0.0684856,0.684246,1,3.29858
212,0.387109,-0.204602,1,3.30189
213,-0.481658,-0.991332,0,3.28639
214,0.0512116,0.909662,1,3.28972
215,-0.202588,-0.517793,1,3.29302
216,0.171153,-0.489715,1,3.2963
217,0.368064,0.890618,1,3.29954
218,-0.128975,0.780504,1,3.30275
219,-0.985656,0.882012,0,3.28767
220,0.203137,0.572362,1,3.29091
221,0.153391,-0.715132,1,3.29412
222,-0.555332,-0.233962,1,3.2973
223,-0.991455,-0.164134,0,3.28251
224,-0.8355,0.319905,1,3.28571
225,0.710248,-0.870292,0,3.27111
226,0.622169,0.324178,1,3.27434
227,0.383019,0.605445,1,3.27753
228,0.0603064,0.3713,1,3.2807
229,-0.71446,0.379051,1,3.28384
230,0.455838,0.555515,1,3.28696
231,-0.937862,0.737411,0,3.27273
232,0.28908,0.413172,1,3.27586
233,-0.829091,0.10401,1,3.27897
234,0.895868,-0.882439,0,3.26496
235,-0.45004,-0.709638,1,3.26809
236,0.963621,0.240005,1,3.27119
237,-0.415492,0.845022,1,3.27426
238,-0.264909,0.389123,1,3.27731
239,-0.562717,-0.688152,1,3.28033
240,-0.518892,0.0429103,1,3.28333
241,0.804615,-0.787157,0,3.26971
242,0.805347,-0.116523,1,3.27273
243,-0.839773,0.564243,0,3.25926
244,-0.656412,0.948849,0,3.2459
245,0.551791,0.740829,1,3.24898
246,-0.57871,-0.0867363,1,3.25203
247,-0.992492,0.501312,0,3.23887
248,-0.771898,-0.190563,1,3.24194
249,-0.377709,0.98529,0,3.22892
250,-0.922847,-0.495819,0,3.216
251,-0.621437,-0.504608,1,3.21912
252,-0.692974,0.240676,1,3.22222
253,0.770799,0.878227,0,3.20949
254,-0.60868,0.55936,1,3.2126
255,0.291155,0.313557,1,3.21569
256,0.818348,-0.0890557,1,3.21875
257,0.842642,0.328389,1,3.22179
258,-0.698468,0.272722,1,3.22481
259,0.139108,-0.155893,1,3.2278
260,0.886101,0.0811817,1,3.23077
261,0.157175,0.0729415,1,3.23372
262,-0.48941,-0.206067,1,3.23664
263,-0.299457,-0.926753,1,3.23954
264,0.590551,-0.606971,1,3.24242
265,-0.859427,-0.221144,1,3.24528
266,0.18153,-0.858146,1,3.24812
267,-0.604651,-0.688213,1,3.25094
268,0.288714,-0.0913142,1,3.25373
269,0.208631,0.394738,1,3.25651
270,-0.117378,0.36898,1,3.25926
271,-0.206922,0.671489,1,3.26199
272,0.18446,-0.600806,1,3.26471
273,0.898981,0.75206,0,3.25275
274,-0.216566,0.974974,1,3.25547
275,-0.629372,0.791491,0,3.24364
276,0.148935,-0.115852,1,3.24638
277,0.254715,0.417079,1,3.2491
278,-0.900751,-0.428859,1,3.2518
279,-0.479582,-0.184704,1,3.25448
280,0.790698,0.420436,1,3.25714
281,0.456937,0.792163,1,3.25979
282,-0.212843,-0.205152,1,3.26241
283,0.807789,-0.382775,1,3.26502
284,-0.223769,0.141183,1,3.26761
285,-0.292865,0.467436,1,3.27018
286,0.490753,0.472807,1,3.27273
287,0.478911,-0.721358,1,3.27526
288,-0.599646,-0.454801,1,3.27778
289,0.360923,0.822316,1,3.28028
290,-0.264298,0.0353415,1,3.28276
291,-0.781237,0.81493,0,3.27148
292,-0.593847,0.0359519,1,3.27397
293,0.309711,-0.122932,1,3.27645
294,0.375328,-0.819142,1,3.27891
295,-0.840872,-0.84844,0,3.2678
296,-0.944394,-0.289813,1,3.27027
297,-0.385522,0.394616,1,3.27273
298,-0.714643,-0.210279,1,3.27517
299,-0.864311,0.351523,1,3.27759
300,0.449918,-0.602576,1,3.28
301,0.388085,0.231459,1,3.28239
302,0.309833,0.0880181,1,3.28477
303,-0.803394,0.0907648,1,3.28713
304,-0.900751,0.949216,0,3.27632
305,-0.0719038,0.939999,1,3.27869
306,0.455777,0.0619545,1,3.28105
307,0.359885,0.385644,1,3.28339
308,-0.255753,-0.222731,1,3.28571
309,-0.900079,0.619606,0,3.27508
310,-0.660868,-0.878349,0,3.26452
311,-0.378868,0.569004,1,3.26688
312,-0.575047,-0.356162,1,3.26923
313,-0.0306415,-0.981688,1,3.27157
314,-0.120247,0.015748,1,3.27389
315,0.211927,0.517121,1,3.27619
316,-0.197827,-0.300372,1,3.27848
317,0.685345,0.884698,0,3.26814
318,0.246658,0.994629,0,3.25786
319,-0.89306,0.12574,1,3.26019
320,0.727156,-0.226454,1,3.2625
321,-0.38717,-0.431545,1,3.2648
322,-0.946591,0.225172,1,3.26708
323,-0.217604,-0.962766,1,3.26935
324,-0.937923,-0.0885674,1,3.27161
325,0.715925,0.873589,0,3.26154
326,-0.196179,0.454618,1,3.2638
327,0.223219,0.616798,1,3.26606
328,0.7509,0.165232,1,3.26829
329,0.190075,-0.84197,1,3.27052
330,0.586401,-0.0755661,1,3.27273
331,0.181285,0.178905,1,3.27492
332,0.138436,0.63218,1,3.27711
333,0.345541,-0.312824,1,3.27928
334,-0.979552,-0.46536,0,3.26946
335,-0.316853,-0.535799,1,3.27164
336,0.542086,-0.256485,1,3.27381
337,0.739791,-0.766282,0,3.2641
338,0.451199,0.257889,1,3.26627
339,0.787951,-0.63395,0,3.25664
340,0.0711713,0.804065,1,3.25882
341,0.560215,0.930477,0,3.24927
342,-0.605262,0.80315,0,3.23977
343,0.594885,0.906855,0,3.23032
344,0.697674,0.780748,0,3.22093
345,0.257462,-0.629067,1,3.22319
346,0.233901,-0.469999,1,3.22543
347,-0.498688,0.464445,1,3.22767
348,0.576268,-0.658121,1,3.22989
349,0.427822,-0.0380883,1,3.23209
350,-0.837026,0.613136,0,3.22286
351,0.710737,-0.750717,0,3.21368
352,-0.385033,0.146676,1,3.21591
353,-0.0540194,0.524141,1,3.21813
354,-0.616249,0.455594,1,3.22034
355,0.990112,-0.969297,0,3.21127
356,0.295306,0.383324,1,3.21348
357,-0.651712,-0.855765,0,3.20448
358,-0.45004,0.353293,1,3.2067
359,0.677898,0.113349,1,3.20891
360,-0.257523,0.559055,1,3.21111
361,-0.534945,0.276506,1,3.2133
362,-0.536654,-0.590795,1,3.21547
363,0.942135,-0.436489,0,3.20661
364,-0.954221,0.538485,0,3.1978
365,-0.696332,-0.906061,0,3.18904
366,-0.981505,-0.302814,0,3.18033
367,0.287798,-0.313496,1,3.18256
368,-0.170848,-0.166941,1,3.18478
369,-0.818653,0.0903986,1,3.18699
370,0.398584,-0.323994,1,3.18919
371,0.315083,0.752548,1,3.19137
372,0.0709882,0.140084,1,3.19355
373,-0.892022,-0.0684246,1,3.19571
374,-0.48001,-0.146371,1,3.19786
375,0.726729,-0.0267961,1,3.2
376,-0.825124,0.131661,1,3.20213
377,0.418849,0.55698,1,3.20424
378,0.728499,0.701154,0,3.19577
379,-0.413966,0.728804,1,3.19789
380,0.289874,0.493744,1,3.2
381,0.657328,0.531282,1,3.2021
382,0.743881,0.8167,0,3.19372
383,0.825124,0.043948,1,3.19582
384,-0.119636,-0.784716,1,3.19792
385,-0.291949,0.646158,1,3.2
386,-0.14454,-0.660319,1,3.20207
387,-0.998291,0.314961,0,3.1938
388,0.547153,-0.872551,0,3.18557
389,-0.820363,-0.228652,1,3.18766
390,0.36782,0.615272,1,3.18974
391,-0.691815,-0.714277,1,3.19182
392,-0.90307,-0.307697,1,3.19388
393,-0.962888,0.956907,0,3.18575
394,0.295306,-0.892694,1,3.18782
395,0.828359,0.27498,1,3.18987
396,-0.136544,-0.957883,1,3.19192
397,-0.514802,-0.216078,1,3.19395
398,0.308063,0.563816,1,3.19598
399,-0.954343,0.652139,0,3.18797
400,-0.723128,0.268571,1,3.19
401,0.100836,0.967039,1,3.19202
402,-0.0731246,-0.570408,1,3.19403
403,-0.398584,0.564366,1,3.19603
404,-0.3149,-0.0387597,1,3.19802
405,0.216078,-0.79497,1,3.2
406,0.968931,0.511689,0,3.19212
407,-0.698224,-0.0871635,1,3.1941
408,0.423305,0.997558,0,3.18627
409,0.551059,0.283342,1,3.18826
410,0.242446,0.892266,1,3.19024
411,0.376366,-0.420375,1,3.19221
412,0.134347,-0.419215,1,3.19417
413,0.0965025,0.42477,1,3.19613
414,-0.507111,0.0933895,1,3.19807
415,-0.0147104,0.904169,1,3.2
416,0.339681,0.530367,1,3.20192
417,0.24678,-0.108466,1,3.20384
418,0.597571,0.491119,1,3.20574
419,0.977904,-0.590734,0,3.19809
420,0.258988,0.819691,1,3.2
421,0.182628,0.836843,1,3.2019
422,0.0111091,-0.0211805,1,3.20379
423,-0.100531,0.778734,1,3.20567
424,0.880852,-0.634133,0,3.19811
425,-0.496063,-0.593969,1,3.2
426,0.461027,0.882317,1,3.20188
427,0.250198,-0.917292,1,3.20375
428,0.282732,-0.930965,1,3.20561
429,0.112739,0.0889947,1,3.20746
430,-0.107306,-0.877251,1,3.2093
431,0.992126,-0.744491,0,3.20186
432,0.201856,-0.899286,1,3.2037
433,-0.654398,0.320515,1,3.20554
434,-0.335103,-0.368064,1,3.20737
435,0.307209,-0.178905,1,3.2092
436,-0.144967,-0.556736,1,3.21101
437,0.357077,-0.667094,1,3.21281
438,-0.00488311,0.0153208,1,3.21461
439,0.605506,-0.12983,1,3.2164
440,-0.990966,-0.321003,0,3.20909
441,-0.248184,-0.742843,1,3.21088
442,0.654703,0.466642,1,3.21267
443,0.782335,0.2867,1,3.21445
444,0.301227,0.0289935,1,3.21622
445,0.467985,0.474394,1,3.21798
446,0.91424,-0.0683025,1,3.21973
447,-0.273454,-0.775621,1,3.22148
448,0.809376,0.642495,0,3.21429
449,-0.0903986,-0.782641,1,3.21604
450,0.738937,0.522798,1,3.21778
451,-0.921748,-0.166636,1,3.21951
452,0.872307,-0.864494,0,3.21239
453,-0.670268,-0.577428,1,3.21413
454,-0.76616,0.182262,1,3.21586
455,-0.763291,0.236587,1,3.21758
456,0.160227,0.380638,1,3.2193
457,0.463163,0.83135,1,3.22101
458,0.339498,-0.402979,1,3.22271
459,0.617775,-0.243606,1,3.2244
460,0.995056,0.545077,0,3.21739
461,-0.591162,-0.658854,1,3.21909
462,-0.223463,-0.637551,1,3.22078
463,0.161997,-0.608741,1,3.22246
464,0.920344,-0.619484,0,3.21552
465,-0.236526,-0.391992,1,3.2172
466,-0.758347,-0.603675,1,3.21888
467,-0.907526,0.542391,0,3.21199
468,0.522127,0.762131,1,3.21368
469,-0.99646,-0.102728,0,3.20682
470,-0.147226,0.603125,1,3.20851
471,-0.0772752,-0.0102545,1,3.21019
472,0.49881,-0.522981,1,3.21186
473,0.118843,-0.814503,1,3.21353
474,0.844107,0.787707,0,3.20675
475,0.714094,-0.88073,0,3.2
476,-0.0181896,0.264115,1,3.20168
477,0.494476,0.512177,1,3.20335
478,-0.488494,0.819874,1,3.20502
479,0.58402,-0.600745,1,3.20668
480,0.105719,-0.897516,1,3.20833
481,0.0443753,0.580785,1,3.20998
482,0.40835,-0.951901,0,3.20332
483,0.463529,0.106757,1,3.20497
484,0.828481,0.751144,0,3.19835
485,0.593908,-0.389123,1,3.2
486,-0.210096,-0.0361961,1,3.20165
487,-0.89483,0.303974,1,3.20329
488,-0.998291,0.537203,0,3.19672
489,0.512421,-0.56052,1,3.19836
490,-0.690472,-0.884942,0,3.19184
491,0.341268,-0.934627,1,3.19348
492,-0.308246,0.395776,1,3.19512
493,0.59635,-0.127449,1,3.19675
494,0.963499,0.271135,0,3.19028
495,-0.409388,-0.0460233,1,3.19192
496,0.748764,-0.841421,0,3.18548
497,-0.798022,-0.713545,0,3.17907
498,-0.713972,0.83605,0,3.17269
499,-0.382531,-0.252335,1,3.17435
500,0.627724,-0.906733,0,3.168
501,0.628456,-0.51999,1,3.16966
502,0.795825,-0.486968,1,3.17131
503,-0.461271,-0.583959,1,3.17296
504,-0.541232,0.692364,1,3.1746
505,0.749741,0.775438,0,3.16832
506,0.689617,0.21858,1,3.16996
507,-0.918208,-0.652933,0,3.16371
508,-0.632485,-0.288165,1,3.16535
509,-0.101447,-0.62986,1,3.16699
510,0.788989,0.246109,1,3.16863
511,0.0927181,0.823415,1,3.17025
512,0.0452298,0.461332,1,3.17188
513,0.998718,0.938717,0,3.16569
514,0.734908,0.680461,0,3.15953
515,-0.706647,-0.251175,1,3.16116
516,-0.43124,-0.65806,1,3.16279
517,0.947568,0.483672,0,3.15667
518,0.433254,-0.938229,0,3.15058
519,0.290118,0.625465,1,3.15222
520,0.471892,0.636391,1,3.15385
521,-0.750717,0.437832,1,3.15547
522,-0.249832,0.299701,1,3.15709
523,0.830922,0.779405,0,3.15105
524,-0.935665,0.54703,0,3.14504
525,-0.10224,-0.984862,1,3.14667
526,-0.542758,-0.163035,1,3.14829
527,-0.686809,0.838125,0,3.14231
528,0.00341818,-0.514253,1,3.14394
529,0.509003,0.813099,1,3.14556
530,-0.573033,-0.935787,0,3.13962
531,0.542391,-0.54349,1,3.14124
532,0.113227,0.61283,1,3.14286
533,0.704084,-0.336752,1,3.14447
534,0.0778856,0.983642,1,3.14607
535,0.738754,0.29378,1,3.14766
536,-0.544528,0.625649,1,3.14925
537,-0.257889,-0.266191,1,3.15084
538,-0.930049,0.122627,1,3.15242
539,-0.204236,-0.760422,1,3.15399
540,-0.350119,0.798083,1,3.15556
541,-0.597021,0.880425,0,3.14972
542,-0.749863,0.698712,0,3.14391
543,0.787951,-0.108832,1,3.14549
544,-0.555759,0.269548,1,3.14706
545,0.120186,0.248123,1,3.14862
546,-0.152658,-0.967039,1,3.15018
547,0.728316,-0.720747,0,3.14442
548,-0.465177,-0.416041,1,3.14599
549,0.363364,0.122932,1,3.14754
550,0.91772,0.214491,1,3.14909
551,0.576512,-0.15455,1,3.15064
552,0.636819,0.478972,1,3.15217
553,-0.728438,0.0330831,1,3.15371
554,-0.959836,-0.986022,0,3.14801
555,0.496673,-0.332235,1,3.14955
556,0.804309,-0.0754441,1,3.15108
557,0.53586,-0.898981,0,3.14542
558,0.261979,-0.951657,1,3.14695
559,0.36489,0.938229,0,3.14132
560,0.000915583,0.412806,1,3.14286
561,-0.468107,0.644754,1,3.14439
562,0.293292,0.19447,1,3.14591
563,-0.472746,0.688519,1,3.14742
564,-0.0798389,0.496368,1,3.14894
565,-0.296771,-0.971007,0,3.14336
566,-0.0468779,0.253006,1,3.14488
567,-0.192211,-0.232741,1,3.14638
568,-0.94476,-0.422328,0,3.14085
569,0.193737,0.767808,1,3.14235
570,-0.135628,0.863151,1,3.14386
571,-0.234023,0.0662882,1,3.14536
572,-0.979857,0.948544,0,3.13986
573,0.730452,-0.12513,1,3.14136
574,0.399316,-0.334066,1,3.14286
575,0.204724,-0.00286883,1,3.14435
576,0.11927,-0.921992,1,3.14583
577,-0.243545,-0.533907,1,3.14731
578,0.874748,0.719099,0,3.14187
579,0.928279,0.217665,1,3.14335
580,0.167979,-0.847098,1,3.14483
581,-0.185924,-0.389367,1,3.1463
582,-0.00280779,-0.839895,1,3.14777
583,0.749619,-0.391442,1,3.14923
584,0.563084,0.865837,0,3.14384
585,0.176891,-0.56754,1,3.1453
586,-0.441372,0.121467,1,3.14676
587,0.748886,-0.499847,1,3.14821
588,-0.39718,0.454312,1,3.14966
589,0.73326,-0.537814,1,3.1511
590,-0.618568,-0.106391,1,3.15254
591,0.780748,0.148691,1,3.15398
592,-0.94244,0.990539,0,3.14865
593,-0.881524,0.238418,1,3.15008
594,-0.486114,-0.660319,1,3.15152
595,-0.767747,-0.53702,1,3.15294
596,-0.0101935,0.919673,1,3.15436
597,-0.901422,-0.84075,0,3.14908
598,-0.324666,-0.440518,1,3.1505
599,0.0311298,-0.018861,1,3.15192
600,-0.175426,0.849478,1,3.15333
601,0.202161,-0.415675,1,3.15474
602,-0.0484649,-0.196667,1,3.15615
603,0.902704,0.0967466,1,3.15755
604,0.669902,0.588903,1,3.15894
605,0.603369,0.185741,1,3.16033
606,0.740219,-0.363853,1,3.16172
607,0.878411,-0.46414,1,3.1631
608,0.886712,0.437588,1,3.16447
609,-0.744735,0.549838,1,3.16585
610,-0.0542025,-0.648172,1,3.16721
611,-0.946652,-0.916743,0,3.16203
612,-0.0903986,0.724654,1,3.1634
613,-0.727767,-0.971068,0,3.15824
614,-0.574437,0.637124,1,3.15961
615,0.594458,0.55936,1,3.16098
616,0.317036,-0.40249,1,3.16234
617,0.562901,0.843069,0,3.15721
618,0.684307,-0.514741,1,3.15858
619,-0.00244156,-0.953977,1,3.15994
620,-0.848563,-0.938229,0,3.15484
621,-0.287554,0.43069,1,3.1562
622,-0.18037,-0.639138,1,3.15756
623,-0.404138,-0.635781,1,3.15891
624,0.489837,-0.730513,1,3.16026
625,-0.883538,0.0512727,1,3.1616
626,-0.282244,0.613502,1,3.16294
627,-0.682354,0.799792,0,3.15789
628,-0.736373,-0.941525,0,3.15287
629,-0.637124,0.636208,1,3.15421
630,-0.501557,0.141427,1,3.15556
631,-0.306171,0.0798999,1,3.15689
632,0.329854,0.741561,1,3.15823
633,0.865104,0.890618,0,3.15324
634,-0.789599,-0.693524,0,3.14826
635,0.115974,0.600562,1,3.14961
636,0.790331,-0.854972,0,3.14465
637,0.744674,0.644876,1,3.146
638,-0.223402,0.0976012,1,3.14734
639,0.343954,-0.0980895,1,3.14867
640,-0.437221,0.898981,1,3.15
641,0.964353,0.456144,0,3.14509
642,0.189648,-0.455228,1,3.14642
643,-0.736068,-0.604102,1,3.14774
644,0.201062,-0.0252701,1,3.14907
645,-0.289324,-0.540133,1,3.15039
646,-0.0430935,0.383629,1,3.1517
647,0.896356,0.342306,1,3.15301
648,0.965208,-0.524934,0,3.14815
649,0.0271623,-0.528353,1,3.14946
650,0.79613,-0.0312519,1,3.15077
651,-0.347067,0.0750168,1,3.15207
652,0.14161,-0.326924,1,3.15337
653,-0.303668,-0.661539,1,3.15467
654,-0.419642,-0.561436,1,3.15596
655,0.845694,0.479399,1,3.15725
656,0.614051,0.300922,1,3.15854
657,0.373436,-0.459806,1,3.15982
658,0.533785,-0.871147,0,3.15502
659,0.44357,0.718183,1,3.1563
660,-0.316853,-0.911249,1,3.15758
661,-0.031374,-0.958432,1,3.15885
662,0.676433,0.237075,1,3.16012
663,0.0811817,0.208143,1,3.16139
664,0.137399,0.554782,1,3.16265
665,0.280107,0.393518,1,3.16391
666,0.519929,0.736068,1,3.16517
667,-0.684002,-0.152963,1,3.16642
668,0.572972,-0.957151,0,3.16168
669,-0.123238,-0.915705,1,3.16293
670,0.012635,-0.461454,1,3.16418
671,-0.863456,-0.510285,0,3.15946
672,0.96417,0.0129402,1,3.16071
673,0.231093,-0.857963,1,3.16196
674,-0.26497,0.911127,1,3.1632
675,0.720198,-0.325032,1,3.16444
676,-0.516206,-0.420924,1,3.16568
677,-0.898065,0.985473,0,3.161
678,-0.655069,-0.862174,0,3.15634
679,-0.559727,-0.398157,1,3.15758
680,0.573766,0.299274,1,3.15882
681,-0.832631,-0.474455,1,3.16006
682,-0.727034,-0.564915,1,3.16129
683,0.125191,-0.643472,1,3.16252
684,0.264604,-0.786181,1,3.16374
685,-0.0925349,0.517732,1,3.16496
686,-0.332357,-0.885186,1,3.16618
687,-0.434963,0.388635,1,3.16739
688,0.746567,0.135201,1,3.1686
689,0.737045,-0.837576,0,3.16401
690,0.590856,0.99939,0,3.15942
691,0.270036,0.237746,1,3.16064
692,0.189587,0.186291,1,3.16185
693,-0.611488,0.957822,0,3.15729
694,-0.536959,-0.9154,0,3.15274
695,-0.521882,-0.489715,1,3.15396
